position,champion,time_min,killed,placed
BOTTOM,럭스,0.0,0.0,1.0
BOTTOM,럭스,5.0,0.0,3.0
BOTTOM,럭스,10.0,0.0,2.0
BOTTOM,럭스,15.0,0.0,1.0
BOTTOM,렝가,0.0,1.25,1.25
BOTTOM,렝가,5.0,1.6,1.75
BOTTOM,렝가,10.0,3.142857142857143,1.6666666666666667
BOTTOM,렝가,15.0,1.8888888888888888,2.142857142857143
BOTTOM,렝가,20.0,2.5,2.0
BOTTOM,렝가,25.0,2.25,2.0
BOTTOM,렝가,30.0,0.0,3.0
BOTTOM,루시안,0.0,1.1832564271588661,1.4300371747211895
BOTTOM,루시안,5.0,1.3388455538221529,1.9869746206526118
BOTTOM,루시안,10.0,1.7615921214608126,2.17440468271917
BOTTOM,루시안,15.0,1.9015047879616962,1.9246451223195409
BOTTOM,루시안,20.0,2.1443254817987154,1.8145251396648046
BOTTOM,루시안,25.0,2.076325565687268,1.7097701149425288
BOTTOM,루시안,30.0,1.9448818897637796,1.5716171617161716
BOTTOM,루시안,35.0,1.903323262839879,1.4606741573033708
BOTTOM,르블랑,0.0,0.0,1.0
BOTTOM,르블랑,5.0,0.0,2.0
BOTTOM,르블랑,10.0,1.0,2.0
BOTTOM,르블랑,15.0,1.0,3.0
BOTTOM,르블랑,20.0,2.0,2.0
BOTTOM,르블랑,25.0,2.0,1.0
BOTTOM,르블랑,30.0,3.0,0.0
BOTTOM,리산드라,0.0,1.0,1.0
BOTTOM,리산드라,5.0,1.0,2.0
BOTTOM,리산드라,10.0,0.0,1.0
BOTTOM,리산드라,15.0,0.0,3.0
BOTTOM,리산드라,20.0,0.0,2.0
BOTTOM,리산드라,25.0,0.0,2.0
BOTTOM,마스터 이,0.0,1.0,0.0
BOTTOM,마스터 이,5.0,1.0,0.0
BOTTOM,마스터 이,10.0,1.0,0.0
BOTTOM,마스터 이,15.0,1.0,1.0
BOTTOM,마스터 이,20.0,5.0,0.0
BOTTOM,말자하,0.0,0.0,1.5
BOTTOM,말자하,5.0,2.0,2.0
BOTTOM,말자하,10.0,3.5,3.25
BOTTOM,말자하,15.0,1.5,2.5
BOTTOM,말자하,20.0,1.3333333333333333,2.0
BOTTOM,말자하,25.0,1.0,2.0
BOTTOM,말자하,30.0,0.0,2.0
BOTTOM,멜,0.0,1.1176470588235294,1.5829596412556053
BOTTOM,멜,5.0,1.3116883116883118,2.102766798418972
BOTTOM,멜,10.0,1.4452554744525548,2.4235294117647057
BOTTOM,멜,15.0,1.578512396694215,2.0604651162790697
BOTTOM,멜,20.0,1.6551724137931034,1.947674418604651
BOTTOM,멜,25.0,1.5277777777777777,1.7719298245614035
BOTTOM,멜,30.0,1.3333333333333333,1.6206896551724137
BOTTOM,멜,35.0,1.625,1.7894736842105263
BOTTOM,모르가나,0.0,0.0,2.0
BOTTOM,모르가나,5.0,0.0,1.0
BOTTOM,모르가나,10.0,0.0,2.0
BOTTOM,모르가나,15.0,2.0,0.0
BOTTOM,모르가나,20.0,2.0,1.0
BOTTOM,미스 포츈,0.0,1.1862348178137652,1.456362033499853
BOTTOM,미스 포츈,5.0,1.3660886319845857,2.037410453701247
BOTTOM,미스 포츈,10.0,1.6990881458966565,2.218157543391188
BOTTOM,미스 포츈,15.0,1.801825293350717,1.9487492373398414
BOTTOM,미스 포츈,20.0,2.0478359908883825,1.8477769404672193
BOTTOM,미스 포츈,25.0,2.0096685082872927,1.702593659942363
BOTTOM,미스 포츈,30.0,1.8214876033057852,1.5501355013550135
BOTTOM,미스 포츈,35.0,1.829268292682927,1.3917525773195876
BOTTOM,바루스,0.0,1.174641148325359,1.512591815320042
BOTTOM,바루스,5.0,1.3016476552598226,2.0749879051765845
BOTTOM,바루스,10.0,1.629331184528606,2.2591346153846152
BOTTOM,바루스,15.0,1.7108533554266778,1.97680690399137
BOTTOM,바루스,20.0,1.8884892086330936,1.9913448735019974
BOTTOM,바루스,25.0,1.8477970627503337,1.9013360739979446
BOTTOM,바루스,30.0,1.7421203438395416,1.7655310621242486
BOTTOM,바루스,35.0,1.5824175824175823,1.5759493670886076
BOTTOM,베이가,0.0,1.0,1.412280701754386
BOTTOM,베이가,5.0,1.2619047619047619,2.28
BOTTOM,베이가,10.0,1.5147058823529411,2.4173228346456694
BOTTOM,베이가,15.0,1.4492753623188406,2.146551724137931
BOTTOM,베이가,20.0,1.5076923076923077,1.96
BOTTOM,베이가,25.0,1.525,1.9491525423728813
BOTTOM,베이가,30.0,1.5625,1.6666666666666667
BOTTOM,베이가,35.0,1.0,1.5
BOTTOM,베인,0.0,1.1162790697674418,1.4941176470588236
BOTTOM,베인,5.0,1.2718446601941749,2.0108303249097474
BOTTOM,베인,10.0,1.7234042553191489,2.116788321167883
BOTTOM,베인,15.0,1.9451219512195121,1.902834008097166
BOTTOM,베인,20.0,2.0479041916167664,1.7512953367875648
BOTTOM,베인,25.0,1.85,1.7454545454545454
BOTTOM,베인,30.0,1.95,1.62
BOTTOM,베인,35.0,2.0,1.6
BOTTOM,벨코즈,0.0,1.1304347826086956,1.6411483253588517
BOTTOM,벨코즈,5.0,1.2661290322580645,2.4771689497716896
BOTTOM,벨코즈,10.0,1.5669642857142858,2.6970387243735763
BOTTOM,벨코즈,15.0,1.497816593886463,2.299019607843137
BOTTOM,벨코즈,20.0,1.5577889447236182,2.1554878048780486
BOTTOM,벨코즈,25.0,1.5,2.152542372881356
BOTTOM,벨코즈,30.0,1.453125,2.094488188976378
BOTTOM,벨코즈,35.0,1.6666666666666667,1.6666666666666667
BOTTOM,브랜드,0.0,1.0,1.9
BOTTOM,브랜드,5.0,1.5,2.090909090909091
BOTTOM,브랜드,10.0,1.0,2.0
BOTTOM,브랜드,15.0,1.5,2.727272727272727
BOTTOM,브랜드,20.0,1.4285714285714286,2.5555555555555554
BOTTOM,브랜드,25.0,1.3333333333333333,2.5
BOTTOM,브랜드,30.0,1.0,2.0
BOTTOM,브랜드,35.0,0.0,1.0
BOTTOM,블라디미르,0.0,0.0,1.5714285714285714
BOTTOM,블라디미르,5.0,1.0,2.0
BOTTOM,블라디미르,10.0,1.0,2.0
BOTTOM,블라디미르,15.0,2.5,2.3333333333333335
BOTTOM,블라디미르,20.0,1.3333333333333333,1.6666666666666667
BOTTOM,블라디미르,25.0,1.0,1.3333333333333333
BOTTOM,블라디미르,30.0,1.0,1.5
BOTTOM,블라디미르,35.0,0.0,1.0
BOTTOM,비에고,0.0,0.0,1.5
BOTTOM,비에고,5.0,1.4,2.090909090909091
BOTTOM,비에고,10.0,1.4285714285714286,2.4545454545454546
BOTTOM,비에고,15.0,1.5714285714285714,4.0
BOTTOM,비에고,20.0,1.8888888888888888,19.0
BOTTOM,비에고,25.0,2.0,2.5
BOTTOM,비에고,30.0,1.0,0.0
BOTTOM,빅토르,0.0,1.0769230769230769,1.5571428571428572
BOTTOM,빅토르,5.0,1.09375,2.2739726027397262
BOTTOM,빅토르,10.0,1.8604651162790697,2.5675675675675675
BOTTOM,빅토르,15.0,1.7560975609756098,2.0985915492957745
BOTTOM,빅토르,20.0,1.8157894736842106,2.107142857142857
BOTTOM,빅토르,25.0,1.5,2.0476190476190474
BOTTOM,빅토르,30.0,1.5454545454545454,1.8823529411764706
BOTTOM,빅토르,35.0,3.0,1.5
BOTTOM,사미라,0.0,1.1607142857142858,1.4264705882352942
BOTTOM,사미라,5.0,1.3866666666666667,1.9944444444444445
BOTTOM,사미라,10.0,1.6238805970149253,2.0148698884758365
BOTTOM,사미라,15.0,1.665615141955836,1.8903508771929824
BOTTOM,사미라,20.0,1.7887323943661972,1.7029972752043596
BOTTOM,사미라,25.0,1.7166666666666666,1.6883116883116882
BOTTOM,사미라,30.0,1.5616438356164384,1.4736842105263157
BOTTOM,사미라,35.0,1.625,1.6428571428571428
BOTTOM,사이온,5.0,0.0,1.0
BOTTOM,사이온,10.0,1.0,5.0
BOTTOM,사이온,15.0,0.0,2.0
BOTTOM,사이온,20.0,1.0,1.0
BOTTOM,사일러스,0.0,0.0,1.0
BOTTOM,사일러스,5.0,1.0,2.5
BOTTOM,사일러스,10.0,0.0,1.75
BOTTOM,사일러스,15.0,1.0,2.0
BOTTOM,사일러스,20.0,2.0,2.0
BOTTOM,사일러스,25.0,1.0,1.0
BOTTOM,사일러스,30.0,3.0,0.0
BOTTOM,세나,0.0,1.2,1.5
BOTTOM,세나,5.0,1.5,1.9333333333333333
BOTTOM,세나,10.0,1.7333333333333334,2.066666666666667
BOTTOM,세나,15.0,1.8571428571428572,2.111111111111111
BOTTOM,세나,20.0,2.0,2.0
BOTTOM,세나,25.0,2.076923076923077,2.0
BOTTOM,세나,30.0,2.6,1.1666666666666667
BOTTOM,세라핀,0.0,1.0909090909090908,1.4385964912280702
BOTTOM,세라핀,5.0,1.36,2.0
BOTTOM,세라핀,10.0,1.4838709677419355,2.3559322033898304
BOTTOM,세라핀,15.0,1.4411764705882353,1.9375
BOTTOM,세라핀,20.0,1.4285714285714286,1.7027027027027026
BOTTOM,세라핀,25.0,1.3571428571428572,1.7037037037037037
BOTTOM,세라핀,30.0,1.6666666666666667,1.2666666666666666
BOTTOM,세라핀,35.0,1.0,2.0
BOTTOM,세트,0.0,0.0,1.5
BOTTOM,세트,5.0,0.0,2.0
BOTTOM,세트,10.0,0.0,1.5
BOTTOM,세트,15.0,1.0,2.0
BOTTOM,세트,20.0,1.0,2.5
BOTTOM,세트,25.0,1.5,3.5
BOTTOM,세트,30.0,1.0,3.0
BOTTOM,스몰더,0.0,1.1347517730496455,1.4824074074074074
BOTTOM,스몰더,5.0,1.27816091954023,2.01869918699187
BOTTOM,스몰더,10.0,1.6328358208955225,2.179423868312757
BOTTOM,스몰더,15.0,1.6869436201780414,1.9301227573182247
BOTTOM,스몰더,20.0,1.8665620094191522,1.8474204171240396
BOTTOM,스몰더,25.0,1.8290993071593533,1.7023026315789473
BOTTOM,스몰더,30.0,1.6157894736842104,1.6548042704626333
BOTTOM,스몰더,35.0,1.6851851851851851,1.4361702127659575
BOTTOM,스웨인,0.0,1.1926605504587156,1.5146853146853148
BOTTOM,스웨인,5.0,1.2329317269076305,2.183006535947712
BOTTOM,스웨인,10.0,1.5283505154639174,2.348563968668407
BOTTOM,스웨인,15.0,1.527363184079602,1.961136023916293
BOTTOM,스웨인,20.0,1.5303030303030303,1.9961977186311788
BOTTOM,스웨인,25.0,1.5953488372093023,1.8465909090909092
BOTTOM,스웨인,30.0,1.3703703703703705,1.8520710059171597
BOTTOM,스웨인,35.0,1.2608695652173914,1.6415094339622642
BOTTOM,시비르,0.0,1.1594202898550725,1.4931092436974789
BOTTOM,시비르,5.0,1.2956785443517818,1.9978260869565216
BOTTOM,시비르,10.0,1.6822971548998946,2.1417104044458166
BOTTOM,시비르,15.0,1.8270189431704886,1.902664298401421
BOTTOM,시비르,20.0,2.018807092960774,1.7828546562228025
BOTTOM,시비르,25.0,1.9185953711093375,1.7045454545454546
BOTTOM,시비르,30.0,1.7115009746588694,1.5153284671532847
BOTTOM,시비르,35.0,1.7404580152671756,1.4728260869565217
BOTTOM,신 짜오,0.0,0.0,1.0
BOTTOM,신 짜오,5.0,1.0,1.5
BOTTOM,신 짜오,10.0,1.0,2.0
BOTTOM,신 짜오,15.0,0.0,2.0
BOTTOM,신 짜오,20.0,3.0,2.0
BOTTOM,신드라,0.0,1.0,1.4666666666666666
BOTTOM,신드라,5.0,1.0,2.0
BOTTOM,신드라,10.0,1.6666666666666667,2.4444444444444446
BOTTOM,신드라,15.0,1.3333333333333333,2.142857142857143
BOTTOM,신드라,20.0,2.0,2.1538461538461537
BOTTOM,신드라,25.0,1.0,2.4
BOTTOM,신드라,30.0,0.0,1.0
BOTTOM,신지드,0.0,1.125,1.4573170731707317
BOTTOM,신지드,5.0,1.38,1.7607361963190185
BOTTOM,신지드,10.0,1.5656565656565657,1.801418439716312
BOTTOM,신지드,15.0,1.4404761904761905,1.627906976744186
BOTTOM,신지드,20.0,1.5671641791044777,1.6910569105691058
BOTTOM,신지드,25.0,1.441860465116279,1.5568181818181819
BOTTOM,신지드,30.0,1.25,1.4848484848484849
BOTTOM,신지드,35.0,1.0,1.375
BOTTOM,아우렐리온 솔,0.0,1.1081081081081081,1.2967032967032968
BOTTOM,아우렐리온 솔,5.0,1.2597402597402598,1.9116279069767441
BOTTOM,아우렐리온 솔,10.0,1.509090909090909,2.041860465116279
BOTTOM,아우렐리온 솔,15.0,1.49,1.9289340101522843
BOTTOM,아우렐리온 솔,20.0,1.5696202531645569,1.8571428571428572
BOTTOM,아우렐리온 솔,25.0,1.2542372881355932,1.6115702479338843
BOTTOM,아우렐리온 솔,30.0,1.1333333333333333,1.5593220338983051
BOTTOM,아우렐리온 솔,35.0,1.4,1.5
BOTTOM,아지르,0.0,0.0,1.2
BOTTOM,아지르,5.0,1.0,1.6666666666666667
BOTTOM,아지르,10.0,1.8,2.0
BOTTOM,아지르,15.0,1.0,1.5
BOTTOM,아지르,20.0,2.75,1.6666666666666667
BOTTOM,아지르,25.0,3.0,1.5
BOTTOM,아지르,30.0,1.0,3.0
BOTTOM,아크샨,0.0,0.0,1.0
BOTTOM,아크샨,5.0,1.0,9.333333333333334
BOTTOM,아크샨,10.0,2.0,3.0
BOTTOM,아크샨,15.0,1.0,8.0
BOTTOM,아크샨,20.0,3.5,6.666666666666667
BOTTOM,아크샨,25.0,3.0,6.0
BOTTOM,아크샨,30.0,2.0,7.0
BOTTOM,아크샨,35.0,0.0,1.0
BOTTOM,아펠리오스,0.0,1.1631205673758864,1.4423474431562866
BOTTOM,아펠리오스,5.0,1.358148148148148,1.9780122422680413
BOTTOM,아펠리오스,10.0,1.7136871508379887,2.102105263157895
BOTTOM,아펠리오스,15.0,1.7878083430195015,1.8081838992750858
BOTTOM,아펠리오스,20.0,2.0135865797864967,1.7100402557423633
BOTTOM,아펠리오스,25.0,1.9613950427725377,1.6235539541058222
BOTTOM,아펠리오스,30.0,1.8859060402684564,1.5341918294849024
BOTTOM,아펠리오스,35.0,1.7821969696969697,1.3861852433281006
BOTTOM,애니비아,0.0,1.0,1.375
BOTTOM,애니비아,5.0,1.8333333333333333,2.7058823529411766
BOTTOM,애니비아,10.0,1.8333333333333333,2.9411764705882355
BOTTOM,애니비아,15.0,1.625,2.1666666666666665
BOTTOM,애니비아,20.0,2.0,2.4
BOTTOM,애니비아,25.0,2.25,2.142857142857143
BOTTOM,애니비아,30.0,1.0,2.0
BOTTOM,애니비아,35.0,1.0,2.0
BOTTOM,애쉬,0.0,1.1516129032258065,1.4179714091218516
BOTTOM,애쉬,5.0,1.332842415316642,1.9502457002457003
BOTTOM,애쉬,10.0,1.725242718446602,2.1394348894348894
BOTTOM,애쉬,15.0,1.8521983161833488,1.934219734079776
BOTTOM,애쉬,20.0,2.12111801242236,1.8717277486910995
BOTTOM,애쉬,25.0,2.0368589743589745,1.8079019073569482
BOTTOM,애쉬,30.0,1.9618320610687023,1.501432664756447
BOTTOM,애쉬,35.0,1.855263157894737,1.5222222222222221
BOTTOM,야스오,0.0,1.175,1.5214521452145215
BOTTOM,야스오,5.0,1.3333333333333333,2.6317365269461077
BOTTOM,야스오,10.0,1.6042780748663101,3.9064327485380117
BOTTOM,야스오,15.0,1.5722543352601157,3.4589665653495443
BOTTOM,야스오,20.0,1.5592105263157894,3.476793248945148
BOTTOM,야스오,25.0,1.4523809523809523,2.892405063291139
BOTTOM,야스오,30.0,1.5357142857142858,2.6779661016949152
BOTTOM,야스오,35.0,1.3333333333333333,2.6666666666666665
BOTTOM,오로라,0.0,1.0,1.4
BOTTOM,오로라,5.0,1.0,2.0
BOTTOM,오로라,10.0,1.5,2.888888888888889
BOTTOM,오로라,15.0,1.6666666666666667,3.5714285714285716
BOTTOM,오로라,20.0,1.3333333333333333,2.2
BOTTOM,오로라,25.0,1.0,1.0
BOTTOM,오로라,30.0,1.3333333333333333,0.0
BOTTOM,오른,0.0,0.0,1.0
BOTTOM,오른,5.0,1.0,3.0
BOTTOM,오른,10.0,1.0,3.0
BOTTOM,오른,15.0,0.0,4.0
BOTTOM,오른,20.0,1.0,3.0
BOTTOM,오른,25.0,1.0,1.0
BOTTOM,오른,30.0,2.0,2.0
BOTTOM,오리아나,0.0,0.0,1.0
BOTTOM,오리아나,5.0,0.0,2.0
BOTTOM,오리아나,10.0,1.0,3.5
BOTTOM,오리아나,15.0,1.0,1.0
BOTTOM,오리아나,20.0,1.0,0.0
BOTTOM,요네,0.0,0.0,1.6
BOTTOM,요네,5.0,1.0,2.6666666666666665
BOTTOM,요네,10.0,1.3333333333333333,1.8888888888888888
BOTTOM,요네,15.0,1.75,1.5714285714285714
BOTTOM,요네,20.0,1.5,1.5
BOTTOM,요네,25.0,0.0,3.0
BOTTOM,유나라,0.0,1.1580381471389645,1.445598065709003
BOTTOM,유나라,5.0,1.348895113600996,1.968623877099336
BOTTOM,유나라,10.0,1.7333601447818219,2.1714581714581715
BOTTOM,유나라,15.0,1.9174785100286533,1.9138621200889547
BOTTOM,유나라,20.0,2.1612835127717966,1.7914691943127963
BOTTOM,유나라,25.0,2.103247863247863,1.674758701374671
BOTTOM,유나라,30.0,1.9382113821138212,1.5116758241758241
BOTTOM,유나라,35.0,1.7521126760563381,1.4506024096385541
BOTTOM,이렐리아,0.0,0.0,1.6666666666666667
BOTTOM,이렐리아,5.0,1.0,2.3333333333333335
BOTTOM,이렐리아,10.0,1.0,1.0
BOTTOM,이렐리아,15.0,2.0,2.0
BOTTOM,이렐리아,20.0,1.0,2.5
BOTTOM,이렐리아,25.0,0.0,2.0
BOTTOM,이렐리아,30.0,1.0,1.0
BOTTOM,이즈리얼,0.0,1.1675840978593273,1.4151486097794823
BOTTOM,이즈리얼,5.0,1.2915218902015289,1.9825978868862648
BOTTOM,이즈리얼,10.0,1.5419703738537502,2.1159312816709925
BOTTOM,이즈리얼,15.0,1.6228381374722838,1.8767373297767795
BOTTOM,이즈리얼,20.0,1.7639087018544937,1.7886164923709926
BOTTOM,이즈리얼,25.0,1.684371417653802,1.6538969616908852
BOTTOM,이즈리얼,30.0,1.6478999106344951,1.5511057979677227
BOTTOM,이즈리얼,35.0,1.5440251572327044,1.4857142857142858
BOTTOM,자야,0.0,1.1412429378531073,1.4501061571125264
BOTTOM,자야,5.0,1.335632183908046,2.033112582781457
BOTTOM,자야,10.0,1.6610169491525424,2.167296786389414
BOTTOM,자야,15.0,1.8050974512743627,1.8758241758241758
BOTTOM,자야,20.0,2.009983361064892,1.777027027027027
BOTTOM,자야,25.0,1.9366754617414248,1.6488222698072805
BOTTOM,자야,30.0,1.6196319018404908,1.5692307692307692
BOTTOM,자야,35.0,1.6923076923076923,1.3859649122807018
BOTTOM,자이라,0.0,1.0,30.166666666666668
BOTTOM,자이라,5.0,1.25,54.083333333333336
BOTTOM,자이라,10.0,1.5714285714285714,59.75
BOTTOM,자이라,15.0,1.8571428571428572,47.75
BOTTOM,자이라,20.0,1.8333333333333333,61.285714285714285
BOTTOM,자이라,25.0,1.75,45.857142857142854
BOTTOM,자이라,30.0,1.0,20.0
BOTTOM,자크,0.0,0.0,1.0
BOTTOM,자크,5.0,0.0,3.0
BOTTOM,자크,10.0,2.0,2.0
BOTTOM,자크,15.0,0.0,1.0
BOTTOM,자크,20.0,0.0,1.0
BOTTOM,제드,0.0,1.0,1.5
BOTTOM,제드,5.0,0.0,2.5
BOTTOM,제드,10.0,0.0,1.5
BOTTOM,제드,15.0,3.0,3.0
BOTTOM,제드,20.0,0.0,2.0
BOTTOM,제드,25.0,1.0,0.0
BOTTOM,제라스,0.0,1.0,1.5185185185185186
BOTTOM,제라스,5.0,1.25,2.272
BOTTOM,제라스,10.0,1.288888888888889,2.2479338842975207
BOTTOM,제라스,15.0,1.5423728813559323,2.027027027027027
BOTTOM,제라스,20.0,1.565217391304348,2.2045454545454546
BOTTOM,제라스,25.0,1.2580645161290323,2.1940298507462686
BOTTOM,제라스,30.0,1.1538461538461537,2.0625
BOTTOM,제라스,35.0,1.0,1.9
BOTTOM,제리,0.0,1.156923076923077,1.4672754946727549
BOTTOM,제리,5.0,1.4163473818646233,1.9800824175824177
BOTTOM,제리,10.0,2.1222123104371096,2.1454293628808863
BOTTOM,제리,15.0,2.2277676950998186,1.846577498033045
BOTTOM,제리,20.0,2.6108870967741935,1.707973102785783
BOTTOM,제리,25.0,2.2812982998454405,1.5985074626865672
BOTTOM,제리,30.0,2.3275862068965516,1.4756944444444444
BOTTOM,제리,35.0,2.1184210526315788,1.3855421686746987
BOTTOM,제이스,0.0,0.0,2.0
BOTTOM,제이스,5.0,1.0,2.5
BOTTOM,제이스,10.0,2.0,2.5
BOTTOM,제이스,15.0,2.0,2.5
BOTTOM,제이스,20.0,2.0,1.5
BOTTOM,제이스,25.0,2.5,2.0
BOTTOM,제이스,30.0,1.0,3.0
BOTTOM,제이스,35.0,1.0,1.0
BOTTOM,직스,0.0,1.1538461538461537,1.53125
BOTTOM,직스,5.0,1.2372093023255815,2.2403560830860534
BOTTOM,직스,10.0,1.4862385321100917,2.326440177252585
BOTTOM,직스,15.0,1.4870317002881845,2.0755336617405584
BOTTOM,직스,20.0,1.625,2.021868787276342
BOTTOM,직스,25.0,1.5408163265306123,1.9283582089552238
BOTTOM,직스,30.0,1.3857142857142857,1.6333333333333333
BOTTOM,직스,35.0,1.3043478260869565,1.6363636363636365
BOTTOM,진,0.0,1.126038781163435,2.3003314001657
BOTTOM,진,5.0,1.2562463683904705,8.931418522860492
BOTTOM,진,10.0,1.4853620955315872,10.131496678389997
BOTTOM,진,15.0,1.527537372147915,9.722025216706069
BOTTOM,진,20.0,1.627509611277232,10.567396593673966
BOTTOM,진,25.0,1.5842985842985844,9.999035059504664
BOTTOM,진,30.0,1.4885844748858448,9.410126582278481
BOTTOM,진,35.0,1.5473684210526315,9.84950495049505
BOTTOM,징크스,0.0,1.2264367816091954,1.439113492450073
BOTTOM,징크스,5.0,1.3881735813066285,1.9717229285401139
BOTTOM,징크스,10.0,1.8014824363519175,2.0938461538461537
BOTTOM,징크스,15.0,1.9328140214216163,1.873157092018302
BOTTOM,징크스,20.0,2.186572438162544,1.750537634408602
BOTTOM,징크스,25.0,2.0827586206896553,1.6409465020576133
BOTTOM,징크스,30.0,1.9204389574759946,1.5081967213114753
BOTTOM,징크스,35.0,1.9060773480662982,1.4260089686098654
BOTTOM,초가스,0.0,1.5,1.7407407407407407
BOTTOM,초가스,5.0,1.25,2.1153846153846154
BOTTOM,초가스,10.0,1.7894736842105263,1.3636363636363635
BOTTOM,초가스,15.0,1.8235294117647058,1.7894736842105263
BOTTOM,초가스,20.0,1.5625,1.8333333333333333
BOTTOM,초가스,25.0,2.0,1.6
BOTTOM,초가스,30.0,2.5,2.3333333333333335
BOTTOM,카르마,0.0,0.0,1.0
BOTTOM,카르마,5.0,0.0,3.0
BOTTOM,카르마,10.0,0.0,1.6666666666666667
BOTTOM,카르마,15.0,0.0,2.0
BOTTOM,카르마,20.0,0.0,1.0
BOTTOM,카르마,25.0,0.0,1.0
BOTTOM,카르마,30.0,0.0,2.0
BOTTOM,카서스,0.0,1.2666666666666666,1.3297872340425532
BOTTOM,카서스,5.0,1.206896551724138,2.0186915887850465
BOTTOM,카서스,10.0,1.3958333333333333,2.018348623853211
BOTTOM,카서스,15.0,1.2222222222222223,1.7755102040816326
BOTTOM,카서스,20.0,1.2682926829268293,1.6071428571428572
BOTTOM,카서스,25.0,1.2413793103448276,1.7301587301587302
BOTTOM,카서스,30.0,1.0,1.5384615384615385
BOTTOM,카서스,35.0,1.0,1.4285714285714286
BOTTOM,카시오페아,0.0,1.128440366972477,1.4965635738831615
BOTTOM,카시오페아,5.0,1.2608695652173914,2.130952380952381
BOTTOM,카시오페아,10.0,1.5856697819314642,2.2308845577211396
BOTTOM,카시오페아,15.0,1.5617283950617284,2.069023569023569
BOTTOM,카시오페아,20.0,1.7198581560283688,1.995744680851064
